Seller,Department,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers
Letícia Nascimento,Eletrônicos,6139.41,1857.66,0.14,0.18,2017-01-01,50,213
Ana Sousa,Eletrônicos,7044.96,5236.01,0.3,0.17,2017-01-01,52,256
Gustavo Martins,Eletrônicos,4109.85,1882.47,0.14,0.2,2017-01-01,33,189
Beatriz Santos,Vestuário,315.3,2069.08,0.2,0.17,2017-01-01,2,6
Camila Lima,Vestuário,1672.33,3587.07,0.24,0.14,2017-01-01,12,50
Thiago Barbosa,Acessórios,2884.52,2005.19,0.4,0.44,2017-01-01,23,48
Letícia Ribeiro,Acessórios,3414.28,1302.34,0.26,0.42,2017-01-01,30,66
Enzo Nascimento,Casa,9427.77,5667.34,0.37,0.3,2017-01-01,82,186
Guilherme Santos,Casa,6039.19,7901.41,0.23,0.29,2017-01-01,42,85
Vitória Ribeiro,Brinquedo,6593.46,4112.01,0.36,0.26,2017-01-01,59,240
Julia Araújo,Esportes,7309.58,2129.34,0.22,0.3,2017-01-01,66,324
Lucas Rodrigues,Esportes,993.8,3179.35,0.17,0.3,2017-01-01,6,18
Thiago Carvalho,Esportes,6613.21,3920.9,0.27,0.29,2017-01-01,58,122
Mateus Barbosa,Eletrônicos,2664.03,6583.61,0.23,0.21,2017-01-01,23,94
Camila Carvalho,Casa,2064.69,6425.76,0.17,0.26,2017-01-01,17,30
Diego Cardoso,Vestuário,7054.69,3784.32,0.19,0.19,2017-01-01,51,87
Jorge Santos,Brinquedo,6698.02,4792.32,0.17,0.2,2017-01-01,59,185
Raphael Silva,Papelaria,908.94,908.83,0.29,0.52,2017-01-01,5,14
Caroline Reis,Papelaria,2435.53,979.79,0.54,0.43,2017-01-01,15,28
Letícia Nascimento,Eletrônicos,8706.63,4106.69,0.14,0.18,2017-01-02,69,364
Ana Sousa,Eletrônicos,5411.04,3090.04,0.22,0.23,2017-01-02,44,148
Gustavo Martins,Eletrônicos,3899.68,2864.95,0.32,0.2,2017-01-02,28,61
Beatriz Santos,Vestuário,765.82,1479.18,0.09,0.18,2017-01-02,3,11
Camila Lima,Vestuário,5672.89,2937.36,0.08,0.17,2017-01-02,44,127
Thiago Barbosa,Acessórios,3550.44,1676.59,0.78,0.58,2017-01-02,29,125
Letícia Ribeiro,Acessórios,104.98,2049.09,0.6,0.5,2017-01-02,2,6
Enzo Nascimento,Casa,3106.37,5892.55,0.14,0.26,2017-01-02,24,99
Guilherme Santos,Casa,5141.02,7784.68,0.4,0.25,2017-01-02,41,86
Vitória Ribeiro,Brinquedo,4036.56,2211.78,0.37,0.29,2017-01-02,32,106
Julia Araújo,Esportes,3204.12,5460.35,0.36,0.29,2017-01-02,24,67
Lucas Rodrigues,Esportes,7895.28,4901.16,0.43,0.33,2017-01-02,62,264
Thiago Carvalho,Esportes,192.99,3692.46,0.14,0.38,2017-01-02,3,13
Mateus Barbosa,Eletrônicos,8372.33,6039.36,0.15,0.17,2017-01-02,65,147
Camila Carvalho,Casa,9759.96,7743.15,0.14,0.28,2017-01-02,80,240
Diego Cardoso,Vestuário,613.99,4253.23,0.23,0.15,2017-01-02,4,8
Jorge Santos,Brinquedo,3839.79,3815.15,0.18,0.29,2017-01-02,34,175
Raphael Silva,Papelaria,1202.01,824.24,0.47,0.49,2017-01-02,10,52
Caroline Reis,Papelaria,597.86,975.31,0.72,0.47,2017-01-02,3,10
Letícia Nascimento,Eletrônicos,4260.8,4411.12,0.11,0.18,2017-01-03,32,66
Ana Sousa,Eletrônicos,3327.54,4777.8,0.14,0.18,2017-01-03,26,68
Gustavo Martins,Eletrônicos,835.24,4999.64,0.14,0.23,2017-01-03,4,19
Beatriz Santos,Vestuário,6145.68,1571.49,0.12,0.19,2017-01-03,46,103
Camila Lima,Vestuário,1628.91,1810.44,0.27,0.18,2017-01-03,11,63
Thiago Barbosa,Acessórios,1718.77,2173.31,0.68,0.44,2017-01-03,11,28
Letícia Ribeiro,Acessórios,403.98,1485.96,0.46,0.5,2017-01-03,3,9
Enzo Nascimento,Casa,8138.61,6088.51,0.44,0.23,2017-01-03,64,305
Guilherme Santos,Casa,4584.69,4068.1,0.4,0.24,2017-01-03,35,168
Vitória Ribeiro,Brinquedo,1623.07,3378.01,0.23,0.23,2017-01-03,11,55
Julia Araújo,Esportes,2712.44,7057.07,0.3,0.38,2017-01-03,21,49
Lucas Rodrigues,Esportes,5750.34,2156.1,0.52,0.36,2017-01-03,47,248
Thiago Carvalho,Esportes,9982.58,7074.48,0.45,0.29,2017-01-03,77,206
Mateus Barbosa,Eletrônicos,4704.41,2836.07,0.18,0.17,2017-01-03,34,61
Camila Carvalho,Casa,4327.24,7975.15,0.2,0.31,2017-01-03,35,63
Diego Cardoso,Vestuário,3313.94,2940.65,0.27,0.21,2017-01-03,23,50
Jorge Santos,Brinquedo,4465.66,4543.52,0.15,0.23,2017-01-03,38,127
Raphael Silva,Papelaria,2686.84,1379.72,0.47,0.49,2017-01-03,21,114
Caroline Reis,Papelaria,205.98,1387.28,0.45,0.52,2017-01-03,2,3
Letícia Nascimento,Eletrônicos,1641.84,6708.69,0.1,0.18,2017-01-04,11,35
Ana Sousa,Eletrônicos,5725.2,5228.31,0.14,0.17,2017-01-04,42,135
Gustavo Martins,Eletrônicos,8480.25,3004.39,0.22,0.21,2017-01-04,66,246
Beatriz Santos,Vestuário,3063.5,3565.32,0.18,0.2,2017-01-04,23,119
Camila Lima,Vestuário,1559.09,4080.56,0.12,0.17,2017-01-04,12,28
Thiago Barbosa,Acessórios,2415.18,1231.2,0.38,0.56,2017-01-04,18,40
Letícia Ribeiro,Acessórios,318.64,1538.91,0.8,0.6,2017-01-04,2,7
Enzo Nascimento,Casa,999.14,3305.15,0.2,0.32,2017-01-04,9,42
Guilherme Santos,Casa,9791.05,7333.82,0.23,0.24,2017-01-04,86,431
Vitória Ribeiro,Brinquedo,6627.2,4479.29,0.28,0.3,2017-01-04,51,100
Julia Araújo,Esportes,6798.11,1915.93,0.45,0.3,2017-01-04,59,238
Lucas Rodrigues,Esportes,6893.27,7145.04,0.18,0.27,2017-01-04,53,95
Thiago Carvalho,Esportes,1269.2,4978.9,0.23,0.34,2017-01-04,10,29
Mateus Barbosa,Eletrônicos,6868.99,2783.45,0.23,0.18,2017-01-04,53,181
Camila Carvalho,Casa,5519.95,7491.47,0.39,0.23,2017-01-04,36,86
Diego Cardoso,Vestuário,3093.96,2371.74,0.07,0.2,2017-01-04,23,79
Jorge Santos,Brinquedo,5098.19,2571.65,0.32,0.26,2017-01-04,45,80
Raphael Silva,Papelaria,1214.4,518.62,0.22,0.52,2017-01-04,11,27
Caroline Reis,Papelaria,2510.52,1328.93,0.63,0.47,2017-01-04,20,92
Letícia Nascimento,Eletrônicos,1554.7,2388.69,0.15,0.23,2017-01-05,12,37
Ana Sousa,Eletrônicos,7601.57,6189.88,0.3,0.18,2017-01-05,65,214
Gustavo Martins,Eletrônicos,2501.21,2260.89,0.26,0.23,2017-01-05,20,89
Beatriz Santos,Vestuário,2973.6,3709.12,0.1,0.2,2017-01-05,24,85
Camila Lima,Vestuário,6180.45,5091.49,0.24,0.2,2017-01-05,45,202
Thiago Barbosa,Acessórios,151.53,2079.88,0.4,0.58,2017-01-05,3,12
Letícia Ribeiro,Acessórios,2871.98,2327.75,0.68,0.46,2017-01-05,20,88
Enzo Nascimento,Casa,8773.27,2669.77,0.4,0.32,2017-01-05,74,385
Guilherme Santos,Casa,2623.1,6954.71,0.26,0.25,2017-01-05,20,40
Vitória Ribeiro,Brinquedo,6328.61,2423.22,0.11,0.22,2017-01-05,47,168
Julia Araújo,Esportes,3505.52,6726.21,0.51,0.3,2017-01-05,28,144
Lucas Rodrigues,Esportes,6671.81,4116.6,0.51,0.33,2017-01-05,54,252
Thiago Carvalho,Esportes,9681.75,2519.77,0.51,0.29,2017-01-05,82,275
Mateus Barbosa,Eletrônicos,9154.41,3104.18,0.1,0.19,2017-01-05,86,210
Camila Carvalho,Casa,8132.83,3913.11,0.31,0.28,2017-01-05,68,255
Diego Cardoso,Vestuário,2825.35,3537.76,0.13,0.19,2017-01-05,20,106
Jorge Santos,Brinquedo,157.15,5438.49,0.26,0.27,2017-01-05,2,3
Raphael Silva,Papelaria,2069.7,1517.99,0.38,0.38,2017-01-05,14,31
Caroline Reis,Papelaria,1858.19,1003.26,0.34,0.5,2017-01-05,16,31
Letícia Nascimento,Eletrônicos,6888.96,3284.87,0.15,0.19,2017-01-06,58,210
Ana Sousa,Eletrônicos,3927.67,3260.68,0.11,0.19,2017-01-06,35,121
Gustavo Martins,Eletrônicos,8947.51,5239.21,0.3,0.21,2017-01-06,74,365
Beatriz Santos,Vestuário,2235.77,3426.38,0.07,0.16,2017-01-06,15,42
Camila Lima,Vestuário,3138.13,3550.97,0.21,0.17,2017-01-06,23,83
Thiago Barbosa,Acessórios,1612.01,1063.44,0.48,0.58,2017-01-06,14,66
Letícia Ribeiro,Acessórios,2850.25,977.88,0.26,0.5,2017-01-06,22,67
Enzo Nascimento,Casa,7092.04,4043.2,0.39,0.31,2017-01-06,58,258
Guilherme Santos,Casa,7525.93,3374.63,0.18,0.22,2017-01-06,58,334
Vitória Ribeiro,Brinquedo,2047.9,3492.59,0.35,0.21,2017-01-06,15,63
Julia Araújo,Esportes,4376.69,5408.77,0.21,0.35,2017-01-06,35,140
Lucas Rodrigues,Esportes,5184.76,3242.22,0.39,0.26,2017-01-06,44,87
Thiago Carvalho,Esportes,7778.55,6196.58,0.17,0.31,2017-01-06,59,139
Mateus Barbosa,Eletrônicos,1814.04,6694.1,0.21,0.17,2017-01-06,12,55
Camila Carvalho,Casa,2914.47,7146.73,0.26,0.31,2017-01-06,26,138
Diego Cardoso,Vestuário,4801.58,5136.93,0.2,0.21,2017-01-06,35,141
Jorge Santos,Brinquedo,7075.73,4086.66,0.32,0.25,2017-01-06,50,208
Raphael Silva,Papelaria,2310.87,1332.39,0.67,0.49,2017-01-06,15,77
Caroline Reis,Papelaria,1342.27,895.9,0.31,0.47,2017-01-06,8,30
Letícia Nascimento,Eletrônicos,7318.76,4430.42,0.23,0.18,2017-01-07,62,120
Ana Sousa,Eletrônicos,895.81,3209.21,0.14,0.18,2017-01-07,6,21
Gustavo Martins,Eletrônicos,5213.06,2445.32,0.14,0.22,2017-01-07,41,192
Beatriz Santos,Vestuário,5073.39,1545.72,0.15,0.17,2017-01-07,42,196
Camila Lima,Vestuário,3039.35,2100.17,0.16,0.2,2017-01-07,23,67
Thiago Barbosa,Acessórios,2108.61,2000.1,0.72,0.56,2017-01-07,16,67
Letícia Ribeiro,Acessórios,1395.84,659.46,0.42,0.56,2017-01-07,8,30
Enzo Nascimento,Casa,9492.58,7782.35,0.25,0.3,2017-01-07,82,452
Guilherme Santos,Casa,6147.0,5664.47,0.19,0.24,2017-01-07,46,139
Vitória Ribeiro,Brinquedo,3533.05,1565.38,0.2,0.27,2017-01-07,28,95
Julia Araújo,Esportes,4274.35,2798.88,0.31,0.27,2017-01-07,29,82
Lucas Rodrigues,Esportes,6477.48,2023.44,0.29,0.34,2017-01-07,50,178
Thiago Carvalho,Esportes,461.16,5481.68,0.18,0.33,2017-01-07,2,6
Mateus Barbosa,Eletrônicos,642.02,3693.27,0.13,0.18,2017-01-07,5,20
Camila Carvalho,Casa,8488.66,4308.96,0.36,0.31,2017-01-07,72,269
Diego Cardoso,Vestuário,1895.1,1614.46,0.08,0.17,2017-01-07,15,37
Jorge Santos,Brinquedo,7919.28,2951.83,0.3,0.28,2017-01-07,65,335
Raphael Silva,Papelaria,1824.22,1644.39,0.68,0.4,2017-01-07,17,38
Caroline Reis,Papelaria,105.87,734.4,0.25,0.49,2017-01-07,3,14
Letícia Nascimento,Eletrônicos,5435.32,2857.92,0.25,0.22,2017-01-08,44,211
Ana Sousa,Eletrônicos,1738.47,4875.97,0.26,0.17,2017-01-08,14,45
Gustavo Martins,Eletrônicos,7817.88,6729.11,0.1,0.16,2017-01-08,59,278
Beatriz Santos,Vestuário,2312.8,3929.53,0.27,0.17,2017-01-08,16,59
Camila Lima,Vestuário,5133.56,1591.47,0.22,0.18,2017-01-08,38,151
Thiago Barbosa,Acessórios,421.37,2149.7,0.72,0.52,2017-01-08,2,4
Letícia Ribeiro,Acessórios,488.4,2560.59,0.66,0.46,2017-01-08,3,14
Enzo Nascimento,Casa,4865.1,4257.2,0.28,0.25,2017-01-08,39,187
Guilherme Santos,Casa,9450.42,6989.46,0.14,0.33,2017-01-08,87,463
Vitória Ribeiro,Brinquedo,5086.31,5020.01,0.31,0.24,2017-01-08,36,121
Julia Araújo,Esportes,7604.99,7294.1,0.23,0.36,2017-01-08,59,173
Lucas Rodrigues,Esportes,5627.48,4587.32,0.3,0.35,2017-01-08,38,127
Thiago Carvalho,Esportes,2900.36,6655.22,0.45,0.27,2017-01-08,23,70
Mateus Barbosa,Eletrônicos,8399.48,2992.19,0.19,0.21,2017-01-08,71,312
